Id,SE,Name,Weighted In-Degree,Authority,Hub,PageRank
399,2674, Jim,182,0.0011963072,0.0014589608,0.0004452256
400,2830, Ian,247,0.0010834481,0,0.0007878642
401,374, Wim,25,0.000135431,0,0.0001032208
403,553, David Brenner,31,0.000135431,0.0002823795,0.000034852
404,1283, Chris Gammell,108,0.000406293,0.000753012,0.0001387286
407,201, Interactive Matter,23,0.000135431,0,3.09083111095773E-005
409,157, tinkerlog,14,0.0001128592,0,4.40367182495095E-005
411,14135, markrages,970,0.005056091,0.0058358433,0.002338764
412,141, Andrew,15,4.5143668E-005,0,2.43571482945991E-005
413,181, LocalgHost,18,6.7715504E-005,0,2.8162441243518E-005
417,2246, penjuin,129,0.000541724,0.0008471386,0.0001935663
419,11, Ishwor Gurung,1,4.5143668E-005,0,2.53622920698344E-005
420,86, Tony Barry,7,4.5143668E-005,0,3.54842515946218E-005
421,41, user421,4,4.5143668E-005,0,2.53622920698344E-005
422,530, Maciek Sawicki,29,0.0001580029,0.0003294428,3.84878325612392E-005
424,8740, jluciani,411,0.0019411778,0.0030591115,0.0006855802
425,96, DuaneFBenson,10,9.0287336E-005,0,3.77293739585141E-005
427,21, slowbluecamera,2,4.5143668E-005,0,2.62632776305866E-005
429,70, iklln6,0,0,4.706325E-005,0
431,83, funk_e,3,4.5143668E-005,9.41265E-005,0.000026644
432,268, Cymen,10,4.5143668E-005,9.41265E-005,2.38493463533311E-005
433,51, Pyrodogg,5,4.5143668E-005,0,2.38493463533311E-005
437,81, crazyduck,8,6.7715504E-005,0,3.0222067905774E-005
440,101, Brian Agnew,0,0,0,0
441,128, Cromulent,0,0,4.706325E-005,0
443,133, BrianMcK,10,6.7715504E-005,0.0001411898,2.87341999038565E-005
444,631, Kevin Boyd,0,0,4.706325E-005,0
445,86, John D,7,4.5143668E-005,0,2.48803630972054E-005
446,41, Harry Morris,3,4.5143668E-005,9.41265E-005,2.53622920698344E-005
447,61, John D,6,6.7715504E-005,0,2.52451309659109E-005
449,121, user449,2,4.5143668E-005,0,2.77542157519894E-005
451,211, ld3300,16,9.0287336E-005,0.000188253,2.75962023309093E-005
458,61, spilk,0,0,0,0
465,101, user465,0,0,0,0
470,78, user470,0,0,4.706325E-005,0
471,138, thenoviceoof,0,0,4.706325E-005,0
480,101, esm,0,0,0,0
482,21, Luca Ottaviano,2,4.5143668E-005,0,0.000024303
483,101, user483,10,9.0287336E-005,0,0.000043729
484,1319, Windell Oskay,140,0.000406293,0,0.0001845935
485,116, Or Goshen,10,4.5143668E-005,0,2.51480989576623E-005
491,186, electrichouse,0,0,4.706325E-005,0
493,156, Jichao,0,0,4.706325E-005,0
495,161, chrmue,6,9.0287336E-005,0,4.98988154634561E-005
496,216, Hamza Yerlikaya,0,0,4.706325E-005,0
498,476, Mark B,41,0.000270862,0,8.45574385150407E-005
503,43, Stocky6409,0,4.5143668E-005,9.41265E-005,0.000026644
504,312, Tim,13,9.0287336E-005,0.000188253,2.87403160955686E-005
505,101, Steve,8,4.5143668E-005,9.41265E-005,5.35404597496432E-005
507,101, user507,10,0.0001128592,0,3.15668199263466E-005
508,101, John Gietzen,0,0,0,0
514,111, 0A0D,0,0,4.706325E-005,0
515,101, Niftynev2005,10,4.5143668E-005,0,2.60255678644691E-005
516,36, knpham,2,4.5143668E-005,0,2.4590837543016E-005
521,101, knoopx,0,0,0,0
524,101, Mitch Davis,10,4.5143668E-005,0,2.44892874801105E-005
526,113, Andrew McGregor,0,0,4.706325E-005,0
527,138, HRJ,0,0,4.706325E-005,0
529,940, semaj,65,0.0003837212,0.000753012,0.0002799836
536,696, pfyon,45,0.0003611493,0.0002823795,9.36358373873986E-005
540,831, Rex Logan,66,0.0002934338,0,0.0002031226
542,221, Mat,0,0,4.706325E-005,0
544,611, Robert Harvey,31,0.0002031465,0.0003294428,0.0001108095
545,98, interlol,0,0,4.706325E-005,0
546,183, roe,0,0,4.706325E-005,0
548,426, Malvineous,11,9.0287336E-005,0.0001411898,6.54638250330691E-005
549,66, Doug,5,4.5143668E-005,0,2.55953681045689E-005
550,511, mmccoo,14,0.0001128592,0.000188253,5.28775674751186E-005
551,18, Kenneth Craig,0,0,4.706325E-005,0
553,178, user553,0,0,4.706325E-005,0
554,1085, Peter Gibson,69,0.000406293,0.0005176958,0.0001272565
555,374, Terry Chen,31,0.000135431,0,8.27630695385841E-005
558,391, chemicaloliver,26,0.000135431,0,5.01696170976289E-005
560,456, Eli Bendersky,19,9.0287336E-005,9.41265E-005,4.92217412386294E-005
561,249, Maltrap,0,0,4.706325E-005,0
566,20996, Toby Jaffey,1067,0.0058235335,0.006918298,0.0021552452
568,481, hlovdal,26,0.0001805747,0.0001411898,7.11846708663221E-005
570,16, duckofrubber,0,0,4.706325E-005,0
574,401, UnwiredBen,27,0.000135431,0,0.000033523
577,121, Matt Miller,0,0,4.706325E-005,0
582,918, stbtra,2,6.7715504E-005,0.0001411898,0.000041624
587,76, James Newton,6,4.5143668E-005,0,0.000023292
588,2883, mjh2007,171,0.0020088933,0.0027296687,0.0008581899
591,276, Diosces,23,0.0001580029,0,3.59636565327394E-005
595,437, JonathanD,21,0.0001580029,0.0002823795,0.000074083
598,73, usecide,1,4.5143668E-005,4.706325E-005,2.48132725358398E-005
601,128, aussiegeek,0,0,4.706325E-005,0
602,178, smoore,5,4.5143668E-005,9.41265E-005,4.08712544020273E-005
605,217, stuckie27,6,6.7715504E-005,0.0001411898,0.000034737
606,111, Aaron,11,4.5143668E-005,0,2.42753998346477E-005
609,151, mellis,5,4.5143668E-005,0,2.33026654075785E-005
610,51, raphael,5,9.0287336E-005,0,4.31078553823762E-005
611,473, ttt,31,0.0001805747,0.000376506,8.7817573245962E-005
617,244, JP.,1,4.5143668E-005,4.706325E-005,2.4257869583161E-005
619,162, Scott,0,0,4.706325E-005,0
623,277, fearoffours,5,9.0287336E-005,0.0001411898,3.29428387896685E-005
625,840, Jay Atkinson,129,0.0003385775,0.000564759,0.0002748542
626,66, Far McKon,0,0,4.706325E-005,0
631,201, aReddishGreen,21,0.000135431,0,0.000070698
638,9444, W5VO,619,0.0026860484,0.0032944276,0.0015523737
640,76, geo_melb,6,9.0287336E-005,0,3.28118767393058E-005
641,361, jme,16,6.7715504E-005,9.41265E-005,0.000025664
646,101, Josh K,0,0,0,0
647,760, Lawrence Johnston,8,6.7715504E-005,0.0001411898,2.42142376373872E-005
649,101, Dre,0,0,0,0
654,222, Nathan Campos,0,0,4.706325E-005,0
657,129, aaronalai,7,6.7715504E-005,9.41265E-005,2.86021426271274E-005
659,3984, jpc,244,0.0016703157,0.0024943524,0.0008293982
665,563, Ashley Hughes,9,0.0001128592,0.000188253,0.000044897
669,101, Jon,0,0,0,0
672,166, geschema,0,4.5143668E-005,9.41265E-005,2.98425153193608E-005
673,101, Robert Durgin,0,0,0,0
678,76, captncraig,0,0,4.706325E-005,0
688,4593, apalopohapa,291,0.0026860484,0.0029649849,0.0014379087
689,1699, Johan,122,0.0011963072,0.0012236446,0.0002659298
690,171, Mark C,7,6.7715504E-005,0,3.53659286367371E-005
691,123, Gabriel Magana,0,0,4.706325E-005,0
693,278, Jared Harley,12,0.0001128592,0.000188253,2.74298578043616E-005
694,61, peter_mcc,6,6.7715504E-005,0,4.30238416976157E-005
696,221, mtrw,12,0.000135431,0,5.92357445714806E-005
699,128, donperignon,0,0,4.706325E-005,0
700,121, dassouki,0,0,4.706325E-005,0
703,2704, Mark,215,0.0007674424,0,0.0004028764
707,232, Pat James,16,4.5143668E-005,4.706325E-005,2.46365534145329E-005
708,1280, Earlz,16,0.0002257184,0.0002823795,7.58951876455163E-005
710,945, John Burton,24,0.0002257184,0.0004235693,0.000173058
712,9727, pingswept,642,0.0024829018,0.0033885543,0.0015292214
715,133, UpTheCreek,0,0,4.706325E-005,0
718,292, bjarkef,12,9.0287336E-005,9.41265E-005,5.51825429829635E-005
721,631, eryksun,48,0.0002482902,0,9.28084656417848E-005
726,111, Bigwave,1,4.5143668E-005,0,2.37295167866543E-005
729,146, Rom,0,0,4.706325E-005,0
733,217, Chris2048,0,0,4.706325E-005,0
740,14426, JustJeff,854,0.00492066,0.005224021,0.0015443121
746,429, ducksauz,34,0.000270862,0.0003294428,0.0001288917
749,101, Mike,0,0,0,0
750,106, ripper234,0,0,4.706325E-005,0
752,160, mentalist,0,0,4.706325E-005,0
754,109, Naveen,0,0,4.706325E-005,0
756,161, manico,0,0,4.706325E-005,0
758,16, Sean Taylor,0,0,4.706325E-005,0
768,114, ProfK,0,0,4.706325E-005,0
769,71, jason11,0,0,4.706325E-005,0
770,138, Jono,0,0,4.706325E-005,0
771,11256, vicatcu,647,0.005484956,0.0054593375,0.0020100904
772,51, davide,5,4.5143668E-005,0,2.43646778432915E-005
776,315, gorilla,15,0.000135431,0.0002353163,5.11975093663776E-005
781,101, leppie,0,4.5143668E-005,0,2.43646778432915E-005
790,591, Wallacoloo,40,9.0287336E-005,0.000188253,4.81288394400057E-005
791,61, jdpipe,5,6.7715504E-005,0.0001411898,0.000156899
792,81, mrbuerger,8,4.5143668E-005,0,3.33196991065643E-005
793,200, Eric C.,0,0,4.706325E-005,0
794,127, Arlen Beiler,-11,4.5143668E-005,4.706325E-005,2.67571828702156E-005
796,51, tissit,5,9.0287336E-005,0,2.90872222656494E-005
797,211, Atmelfaebrian,18,6.7715504E-005,0,2.98544945143265E-005
800,31, LucidDefender,0,0,4.706325E-005,0
804,718, Peter Mortensen,20,0.0001128592,0.000188253,5.44624713829458E-005
809,101, Misha M,0,0,0,0
811,133, Rich,2,4.5143668E-005,9.41265E-005,2.52545304915016E-005
813,8938, davidcary,563,0.0062749702,0.0074359938,0.0024112153
814,313, Marty,14,6.7715504E-005,0.0001411898,2.90591890650621E-005
819,382, volting,14,0.000135431,0.0002823795,4.67445293765507E-005
820,965, timrorr,64,0.0004514367,0,0.0003476333
824,158, jojo l'abricot,8,9.0287336E-005,0.000188253,4.47781486417922E-005
828,86, nootropic,7,6.7715504E-005,0,3.57422961070914E-005
830,81, troy jensen,0,0,4.706325E-005,0
831,1, Grey,0,0,0,0
835,190, Greg,3,4.5143668E-005,9.41265E-005,2.32904705208464E-005
836,116, Flyguy,12,0.0001128592,0,6.04960911786429E-005
837,18, craide,0,0,4.706325E-005,0
839,151, JonCage,0,0,4.706325E-005,0
842,173, Steven,0,0,4.706325E-005,0
850,51, Matt,2,6.7715504E-005,0.0001411898,4.32105685666101E-005
853,101, Christopher Parker,0,0,0,0
854,141, stanigator,4,6.7715504E-005,0.0001411898,2.59646265009123E-005
857,14326, Kevin Vermeer,917,0.0046046544,0.0060711596,0.0019407648
867,191, theatrus,12,0.0001128592,0,9.43338238432606E-005
870,106, macegr,9,6.7715504E-005,0,4.18497886368036E-005
872,13, C-o-r-E,0,0,4.706325E-005,0
875,251, AdamShiemke,17,0.0001580029,0,8.36740612940029E-005
876,507, samoz,2,4.5143668E-005,9.41265E-005,0.000033331
878,158, Matias Valdenegro,0,0,0,0
883,982, XTL,79,0.0010834481,0.0018354668,0.0005885336
885,101, Adam Siddhi,0,0,0,0
886,131, mrkj,3,4.5143668E-005,0,2.32904705208464E-005
889,101, adamk,0,0,0,0
890,294, Series8217,3,6.7715504E-005,9.41265E-005,3.43084295468305E-005
897,108, Remy Blank,0,4.5143668E-005,9.41265E-005,2.45236924736433E-005
898,246, Simon P Stevens,6,6.7715504E-005,9.41265E-005,2.89298015973078E-005
904,118, Shannon Severance,0,0,4.706325E-005,0
905,207, Chaitanya,1,4.5143668E-005,9.41265E-005,2.42431511593603E-005
906,587, John Lopez,38,0.000406293,0,0.0001327707
909,423, Wouter Simons,40,0.0001805747,0.0003294428,8.78485363399834E-005
913,187, Johnny,0,0,4.706325E-005,0
914,135, nailxx,0,0,4.706325E-005,0
920,16, user920,0,0,4.706325E-005,0
921,321, itisravi,20,0.0001805747,0.0002353163,9.67735786790403E-005
922,76, nick,6,4.5143668E-005,0,2.42431511593603E-005
923,272, Nate,16,0.0002257184,0.000376506,7.16480599657263E-005
927,160, Stobie,0,0,4.706325E-005,0
928,246, Carl Norum,13,4.5143668E-005,0,2.50292625729927E-005
930,10161, zebonaut,560,0.0034309188,0.004094503,0.0019094101
933,111, cesare,5,6.7715504E-005,0,6.48981374873894E-005
935,246, mouche,9,6.7715504E-005,0.0001411898,4.14080862897454E-005
936,231, txwikinger,0,0,4.706325E-005,0
937,101, Eric Perko,0,0,0,0
938,5197, Daniel Grillo,322,0.0014671693,0.0021178464,0.0010030325
940,154, Andre Oliveira,12,0.000135431,0.0002823795,0.0001037226
941,321, Imbrondir,0,6.7715504E-005,9.41265E-005,7.52683408780028E-005
942,80, Faken,2,4.5143668E-005,9.41265E-005,2.42753998346477E-005
945,101, danixd,0,0,0,0
947,21, Herimuo,0,0,4.706325E-005,0
952,58, Bogi,1,4.5143668E-005,9.41265E-005,2.75534922717941E-005
954,348, wcmartin,3,4.5143668E-005,9.41265E-005,2.36127315685414E-005
955,146, user955,0,0,4.706325E-005,0
957,101, Colin Pickard,0,0,0,0
958,101, configurator,0,0,0,0
959,51, user959,0,0,0,0
960,241, Digikata,14,9.0287336E-005,0,4.21716774332415E-005
965,675, Jesse,41,0.0002934338,0.0004706325,0.0001047522
970,101, wmat,0,0,0,0
971,95, Owen Thomas,0,0,4.706325E-005,0
978,53, talsit,3,6.7715504E-005,0.0001411898,2.46965081540301E-005
980,71, Taniwha,7,6.7715504E-005,0,2.53136663033199E-005
981,79, Zork,3,6.7715504E-005,0,3.63042365021329E-005
982,324, onaclov2000,9,0.0001805747,0.000376506,8.4743660118698E-005
984,11, Chance,1,4.5143668E-005,0,2.56906707720246E-005
985,1864, dwelch,161,0.0017380313,0,0.0006299265
989,437, Chris B. Behrens,4,9.0287336E-005,0.0001411898,5.99658449097713E-005
991,193, ejoso,9,0.0002257184,0.0001411898,0.0001203362
994,36, Vivek,0,0,4.706325E-005,0
997,18, rapanui,0,0,4.706325E-005,0
1000,101, Dave Forgac,0,0,0,0
1004,108, silvio,0,0,4.706325E-005,0
1009,246, mesh,0,0,4.706325E-005,0
1013,101, Sandeep Datta,0,4.5143668E-005,0,2.77291380374035E-005
1016,121, Casey,0,0,4.706325E-005,0
1020,198, kwo,0,4.5143668E-005,9.41265E-005,2.52545304915016E-005
1021,302, rascher,2,6.7715504E-005,0.0001411898,2.39591703672546E-005
1024,15328, Rocketmagnet,898,0.005597815,0.0051769577,0.0018992873
1025,370, Craig McQueen,13,6.7715504E-005,0.0001411898,3.1062477510694E-005
1026,131, fseto,3,6.7715504E-005,0,6.54840617359524E-005
1027,121, pate,0,0,4.706325E-005,0
1030,70, sauparna,0,0,4.706325E-005,0
1031,101, Benoit Miller,0,0,0,0
1032,141, Otherdave,4,4.5143668E-005,0,2.49082242022291E-005
1033,654, Brad Hein,35,0.0003385775,0.0005176958,0.000184511
1036,183, Andrei Sosnin,2,4.5143668E-005,9.41265E-005,0.000023257
1039,1, ketil,0,0,0,0
1044,78, Adam,0,0,4.706325E-005,0
1047,151, Goodrone,0,0,4.706325E-005,0
1049,21, user1049,0,0,4.706325E-005,0
1055,325, Josip Medved,18,0.0002031465,0,5.44251722212172E-005
1060,13, aaa,0,0,4.706325E-005,0
1065,101, clee,0,0,0,0
1074,316, msr,3,9.0287336E-005,9.41265E-005,4.87394628983104E-005
1076,138, Elazar Leibovich,0,0,4.706325E-005,0
1078,1808, fceconel,130,0.0012188791,0.0011765814,0.0007214941
1079,96, Klaus,8,4.5143668E-005,0,2.48132725358398E-005
1081,126, kirbuchi,0,0,4.706325E-005,0
1082,671, Igor Skochinsky,54,0.0003385775,0,0.0002277854
1084,558, OIO,26,0.0002031465,0.0003294428,5.93352237864593E-005
1085,28, Sid,0,0,4.706325E-005,0
1086,101, Longpoke,0,0,0,0
1091,230, Christian WattengÃƒÂ¥rd,0,0,4.706325E-005,0
1092,141, goldenmean,0,0,4.706325E-005,0
1098,118, Hamza,0,0,4.706325E-005,0
1099,111, Longfield,1,4.5143668E-005,0,4.23084655452222E-005
1100,106, binW,0,0,4.706325E-005,0
1108,101, ceteras,0,0,0,0
1112,101, Sachin Chavan,0,0,0,0
1114,101, PhantomTypist,0,0,0,0
1119,101, Antonio Haley,0,0,0,0
1120,21, user1120,2,6.7715504E-005,0,2.8093905906109E-005
1124,797, Vincent Van Den Berghe,21,0.0001580029,0.0002353163,5.15649167081291E-005
1129,1308, avra,108,0.0018960341,0.0020707832,0.0009791801
1134,28, Nonpython,0,4.5143668E-005,0,2.37295167866543E-005
1135,16, JustRob,0,0,4.706325E-005,0
1140,176, tybro0103,3,6.7715504E-005,0.0001411898,4.53273155146719E-005
1143,185, Sushrut J Mair,10,0.0002257184,0.0002353163,4.52189180806369E-005
1158,559, Pete Kirkham,33,0.0006094396,0.0002353163,0.0001938235
1160,101, shadyabhi,0,0,0,0
