Id,SE,Label,Weighted In-Degree,Authority,Hub,PageRank
603,61, Fixed God,7,0.0003262111,0,9.57885363293993E-005
605,2797, Jay Bazuzi,190,0.00236503,0.0035410766,0.0004079454
606,256, csadam,7,0.0001631055,0.0003541076,8.87366419204211E-005
607,1436, meagar,61,0.0011417387,0.001947592,0.0005509767
608,246, Ryan,14,0.0003262111,0.0007082153,9.97015045815535E-005
609,131, Marc,0,0,0.0001770538,0
610,101, Pat Leahy,0,0,0,0
611,141, Nicolas Raoul,4,0.0002446583,0,0.0001336733
614,101, Kleist,0,0,0,0
615,588, Mike Grace,55,0.0005708694,0.001062323,0.000187521
616,101, user616,0,0,0,0
620,101, invariant,0,0,0,0
621,101, meduz,0,0,0,0
622,195, scompt.com,0,0,0.0001770538,0
624,1, emuso,0,0,0,0
625,101, Christopher Galpin,0,0,0,0
626,101, Nikos Steiakakis,0,0,0,0
627,101, Ram,0,0,0,0
628,491, sharptooth,10,0.0004893166,0.0005311615,0.000130233
631,101, Darel,0,0,0,0
632,341, In silico,24,0.0001631055,0,8.99797487738324E-005
633,101, Anatoly G,0,0,0,0
634,675, Jefromi,42,0.0004893166,0.0008852691,0.0001444926
635,138, Daniel Mošmondor,0,0,0.0001770538,0
638,1192, alesplin,97,0.0012232915,0,0.0002621628
639,101, Macke,0,0,0,0
640,225, Andrew Vit,0,0,0.0001770538,0
643,101, askvictor,0,0,0,0
645,111, Bob Murphy,1,0.0001631055,0,9.27431547651403E-005
648,101, KevDog,0,0,0,0
649,101, Nick,0,0,0,0
651,41, miguelo,4,0.0001631055,0,9.51952656095336E-005
653,101, Catchwa,0,0,0,0
654,80, jselzer,0,0,0.0001770538,0
655,191, Nick,9,0.0002446583,0,9.86745633420788E-005
656,163, Samuel,6,0.0004077638,0.0008852691,0.0001335778
659,21, Edd McArdle,2,0.0001631055,0,9.62552902236881E-005
661,101, Sripathi Krishnan,0,0,0,0
663,101, Nick Berardi,0,0,0,0
664,101, Parsa,0,0,0,0
665,101, Fede,0,0,0,0
666,101, Chris Hanson,0,0,0,0
670,133, miernik,0,0,0.0001770538,0
671,101, Saiboogu,0,0,0,0
672,101, Bluephlame,0,0,0,0
673,101, Simon,0,0,0,0
675,5353, lantius,319,0.007258196,0,0.0028846513
676,101, Damien Ayers,0,0,0,0
677,200, spinodal,0,0,0.0001770538,0
678,441, crasic,39,0.0004893166,0.0007082153,0.0002179028
679,254, Pēteris Caune,13,0.0004077638,0,0.0001248482
680,138, maxschlepzig,0,0,0.0001770538,0
681,101, hstoerr,0,0.0002446583,0,9.90508862168996E-005
683,3397, whatsisname,243,0.0035883216,0,0.0013234063
688,101, eqbridges,0,0,0,0
689,101, Christopher_G_Lewis,0,0,0,0
690,658, Cosmic Flame,1,0.0001631055,0.0003541076,8.77830805762634E-005
692,101, Aaron,0,0,0,0
693,101, Zolomon,0,0,0,0
695,101, Marc Gravell,0,0,0,0
696,564, Peter Bridger,1,0.0001631055,0.0003541076,8.84405804822145E-005
697,101, Srikar Appal,0,0,0,0
698,186, josh0,17,0.0003262111,0,0.0001245469
699,412, onestop,23,0.0006524221,0.001062323,0.0002545404
701,101, overslacked,0,0,0,0
702,101, Brian Fisher,0,0,0,0
703,101, yvoyer,0,0,0,0
704,168, John Batdorf,0,0,0.0001770538,0
705,166, ibz,0,0,0.0001770538,0
706,101, Edd,0,0,0,0
707,101, Simon,0,0,0,0
708,101, George,0,0,0,0
710,2475, DC_CARR,172,0.0026096886,0.003895184,0.0007525881
711,116, Lucius,0,0,0.0001770538,0
712,101, keturn,0,0,0,0
